# Generated=20150326-13:59:00, User=unsj
# Linux keira-ubuntu 3.5.0-17-generic #28-Ubuntu SMP Tue Oct 9 19:31:23 UTC 2012 x86_64 x86_64 x86_64 GNU/Linux
# Machine (5958MB)
#   Socket L#0 + L3 L#0 (12MB)
#     L2 L#0 (256KB) + L1 L#0 (32KB) + Core L#0 + PU L#0 (P#0)
#     L2 L#1 (256KB) + L1 L#1 (32KB) + Core L#1 + PU L#1 (P#2)
#     L2 L#2 (256KB) + L1 L#2 (32KB) + Core L#2 + PU L#2 (P#4)
#     L2 L#3 (256KB) + L1 L#3 (32KB) + Core L#3 + PU L#3 (P#6)
#     L2 L#4 (256KB) + L1 L#4 (32KB) + Core L#4 + PU L#4 (P#8)
#     L2 L#5 (256KB) + L1 L#5 (32KB) + Core L#5 + PU L#5 (P#10)
#   Socket L#1 + L3 L#1 (12MB)
#     L2 L#6 (256KB) + L1 L#6 (32KB) + Core L#6 + PU L#6 (P#1)
#     L2 L#7 (256KB) + L1 L#7 (32KB) + Core L#7 + PU L#7 (P#3)
#     L2 L#8 (256KB) + L1 L#8 (32KB) + Core L#8 + PU L#8 (P#5)
#     L2 L#9 (256KB) + L1 L#9 (32KB) + Core L#9 + PU L#9 (P#7)
#     L2 L#10 (256KB) + L1 L#10 (32KB) + Core L#10 + PU L#10 (P#9)
#     L2 L#11 (256KB) + L1 L#11 (32KB) + Core L#11 + PU L#11 (P#11)
ExperimentNumber,Algorithm,Text,InitialTotalAlloc(B),FinalTotalAllac(B),PeakAlloc(B),InitialCurrentAlloc(B),FinalCurrentAlloc(B)
1,psa,/home/unsj/datasets/english.32MB, 167772724, 2449398260, 2147446152, 167772156, 2147442020
2,psa,/home/unsj/datasets/dna.128MB, 671089204, 10870278636, 9662311812, 671088636, 9662309724
3,psa,/home/unsj/datasets/english.32MB, 167772724, 1103108860, 805309876, 167772156, 801115532
4,psa,/home/unsj/datasets/dna.128MB, 671089204, 5498738876, 4303359404, 671088636, 4290776452
5,psa,/home/unsj/datasets/english.32MB, 167772724, 1778192904, 1476332960, 167772156, 1476267384
6,psa,/home/unsj/datasets/dna.128MB, 671089204, 8187154944, 6979259800, 671088636, 6979194224
7,psa,/home/unsj/datasets/english.4MB, 20972084, 255824384, 218099096, 20971516, 218094960
8,psa,/home/unsj/datasets/dna.16MB, 83886644, 1157605880, 1006570892, 83886076, 1006566760
9,psa,/home/unsj/datasets/english.4MB, 20972084, 83892432, 62918076, 20971516, 46140824
10,psa,/home/unsj/datasets/dna.16MB, 83886644, 482349600, 348130744, 83886076, 331353488
11,psa,/home/unsj/datasets/english.4MB, 20972084, 171840020, 134286764, 20971516, 134090116
12,psa,/home/unsj/datasets/dna.16MB, 83886644, 821957132, 671157668, 83886076, 670961020
13,psa,/home/unsj/datasets/english.64MB, 335544884, 5167313960, 4563238280, 335544316, 4563236192
14,psa,/home/unsj/datasets/dna.1MB, 5243444, 55573000, 46140832, 5242876, 46136696
15,psa,/home/unsj/datasets/english.64MB, 335544884, 2478838864, 1883245996, 335544316, 1874857352
16,psa,/home/unsj/datasets/dna.1MB, 5243444, 9441840, 4197828, 5242876, 3488
