# Generated=20150326-11:55:16, User=unsj
# Linux keira-ubuntu 3.5.0-17-generic #28-Ubuntu SMP Tue Oct 9 19:31:23 UTC 2012 x86_64 x86_64 x86_64 GNU/Linux
# Machine (5958MB)
#   Socket L#0 + L3 L#0 (12MB)
#     L2 L#0 (256KB) + L1 L#0 (32KB) + Core L#0 + PU L#0 (P#0)
#     L2 L#1 (256KB) + L1 L#1 (32KB) + Core L#1 + PU L#1 (P#2)
#     L2 L#2 (256KB) + L1 L#2 (32KB) + Core L#2 + PU L#2 (P#4)
#     L2 L#3 (256KB) + L1 L#3 (32KB) + Core L#3 + PU L#3 (P#6)
#     L2 L#4 (256KB) + L1 L#4 (32KB) + Core L#4 + PU L#4 (P#8)
#     L2 L#5 (256KB) + L1 L#5 (32KB) + Core L#5 + PU L#5 (P#10)
#   Socket L#1 + L3 L#1 (12MB)
#     L2 L#6 (256KB) + L1 L#6 (32KB) + Core L#6 + PU L#6 (P#1)
#     L2 L#7 (256KB) + L1 L#7 (32KB) + Core L#7 + PU L#7 (P#3)
#     L2 L#8 (256KB) + L1 L#8 (32KB) + Core L#8 + PU L#8 (P#5)
#     L2 L#9 (256KB) + L1 L#9 (32KB) + Core L#9 + PU L#9 (P#7)
#     L2 L#10 (256KB) + L1 L#10 (32KB) + Core L#10 + PU L#10 (P#9)
#     L2 L#11 (256KB) + L1 L#11 (32KB) + Core L#11 + PU L#11 (P#11)
ExperimentNumber,Algorithm,NumberOfThreads,InputFile,LengthOfText,ElapsedTimeSec,Instructions,LLCReadMisses,LLCWriteMisses
1,psa,12,/home/unsj/datasets/english.32MB,33554431,9.696552,374344083401,93538059,37631130
2,psa,12,/home/unsj/datasets/english.32MB,33554431,10.059422,374417704601,85833507,37570992
3,psa,12,/home/unsj/datasets/english.32MB,33554431,9.842592,374538427106,97269568,37593473
4,psa,12,/home/unsj/datasets/dna.128MB,134217727,154.257322,1628986783938,783461230,173267553
5,psa,12,/home/unsj/datasets/dna.128MB,134217727,174.424870,1595664690926,784140476,172997033
6,psa,12,/home/unsj/datasets/dna.128MB,134217727,176.931763,1690173829954,745453621,172959279
7,psa,12,/home/unsj/datasets/english.32MB,33554431,5.687746,202973148552,98306582,17094903
8,psa,12,/home/unsj/datasets/english.32MB,33554431,5.578063,202953656498,80803952,16998037
9,psa,12,/home/unsj/datasets/english.32MB,33554431,5.577317,203066280241,82929958,17147083
10,psa,12,/home/unsj/datasets/dna.128MB,134217727,24.629451,814591453056,883799944,85350710
11,psa,12,/home/unsj/datasets/dna.128MB,134217727,24.404350,814564787571,913270787,85566821
12,psa,12,/home/unsj/datasets/dna.128MB,134217727,24.865791,814542275213,922308408,85233086
13,psa,12,/home/unsj/datasets/english.32MB,33554431,7.321625,288053000302,88909986,26452874
14,psa,12,/home/unsj/datasets/english.32MB,33554431,7.326743,288023129646,89116815,26372759
15,psa,12,/home/unsj/datasets/english.32MB,33554431,7.295358,288190974072,92044088,26444894
16,psa,12,/home/unsj/datasets/dna.128MB,134217727,85.392606,1295402919734,876084800,126793898
17,psa,12,/home/unsj/datasets/dna.128MB,134217727,85.432334,1273151418272,859558896,127189030
18,psa,12,/home/unsj/datasets/dna.128MB,134217727,83.388666,1243138864396,869241548,127341812
19,psa,12,/home/unsj/datasets/english.4MB,4194303,1.194139,36948775564,1650184,3914954
20,psa,12,/home/unsj/datasets/english.4MB,4194303,1.141274,36926970806,1639776,3904027
21,psa,12,/home/unsj/datasets/english.4MB,4194303,1.514372,37181377757,1685995,3942557
22,psa,12,/home/unsj/datasets/dna.16MB,16777215,4.299466,158127305005,22113511,17653744
23,psa,12,/home/unsj/datasets/dna.16MB,16777215,3.920881,158005929011,23631557,17599554
24,psa,12,/home/unsj/datasets/dna.16MB,16777215,4.223746,158104778711,23614876,17638479
25,psa,12,/home/unsj/datasets/english.4MB,4194303,0.812388,30528121385,1260583,1308008
26,psa,12,/home/unsj/datasets/english.4MB,4194303,0.809179,30592835759,1164678,1281338
27,psa,12,/home/unsj/datasets/english.4MB,4194303,0.804068,30551348327,1229135,1279217
28,psa,12,/home/unsj/datasets/dna.16MB,16777215,2.127842,71697265346,23924946,7559432
29,psa,12,/home/unsj/datasets/dna.16MB,16777215,2.088590,71589806806,21759548,7549317
30,psa,12,/home/unsj/datasets/dna.16MB,16777215,2.088795,71696926462,21753039,7422995
31,psa,12,/home/unsj/datasets/english.4MB,4194303,0.675732,26076431292,1351579,2502079
32,psa,12,/home/unsj/datasets/english.4MB,4194303,0.680327,26089976496,1401981,2497621
33,psa,12,/home/unsj/datasets/english.4MB,4194303,0.672857,26092453844,1347061,2498133
34,psa,12,/home/unsj/datasets/dna.16MB,16777215,2.954534,114905015292,23763934,12060850
