# Generated=20150326-16:09:00, User=unsj
# Linux keira-ubuntu 3.5.0-17-generic #28-Ubuntu SMP Tue Oct 9 19:31:23 UTC 2012 x86_64 x86_64 x86_64 GNU/Linux
# Machine (5958MB)
#   Socket L#0 + L3 L#0 (12MB)
#     L2 L#0 (256KB) + L1 L#0 (32KB) + Core L#0 + PU L#0 (P#0)
#     L2 L#1 (256KB) + L1 L#1 (32KB) + Core L#1 + PU L#1 (P#2)
#     L2 L#2 (256KB) + L1 L#2 (32KB) + Core L#2 + PU L#2 (P#4)
#     L2 L#3 (256KB) + L1 L#3 (32KB) + Core L#3 + PU L#3 (P#6)
#     L2 L#4 (256KB) + L1 L#4 (32KB) + Core L#4 + PU L#4 (P#8)
#     L2 L#5 (256KB) + L1 L#5 (32KB) + Core L#5 + PU L#5 (P#10)
#   Socket L#1 + L3 L#1 (12MB)
#     L2 L#6 (256KB) + L1 L#6 (32KB) + Core L#6 + PU L#6 (P#1)
#     L2 L#7 (256KB) + L1 L#7 (32KB) + Core L#7 + PU L#7 (P#3)
#     L2 L#8 (256KB) + L1 L#8 (32KB) + Core L#8 + PU L#8 (P#5)
#     L2 L#9 (256KB) + L1 L#9 (32KB) + Core L#9 + PU L#9 (P#7)
#     L2 L#10 (256KB) + L1 L#10 (32KB) + Core L#10 + PU L#10 (P#9)
#     L2 L#11 (256KB) + L1 L#11 (32KB) + Core L#11 + PU L#11 (P#11)
ExperimentNumber,Algorithm,NumberOfThreads,InputFile,LengthOfText,ElapsedTimeSec,Instructions,LLCReadMisses,LLCWriteMisses
1,psa,10,/home/unsj/datasets/english.32MB,33554431,11.137514,374116832606,141827486,37603157
2,psa,10,/home/unsj/datasets/english.32MB,33554431,11.055575,374119075554,130820507,37571999
3,psa,10,/home/unsj/datasets/english.32MB,33554431,11.012447,374130853671,129957798,37563013
4,psa,10,/home/unsj/datasets/dna.128MB,134217727,142.384326,1605306752909,880231725,174015949
5,psa,10,/home/unsj/datasets/dna.128MB,134217727,150.426447,1606279957171,725183106,172028484
6,psa,10,/home/unsj/datasets/dna.128MB,134217727,147.647981,1577323838210,740035323,171883655
7,psa,10,/home/unsj/datasets/english.32MB,33554431,6.669586,202975372365,83077666,16852348
8,psa,10,/home/unsj/datasets/english.32MB,33554431,6.656496,202934135658,87164534,16770863
9,psa,10,/home/unsj/datasets/english.32MB,33554431,6.631272,202935780365,86039690,16869998
10,psa,10,/home/unsj/datasets/dna.128MB,134217727,29.384780,814583440962,873004910,84369690
11,psa,10,/home/unsj/datasets/dna.128MB,134217727,28.697108,814498640332,884904414,84499914
12,psa,10,/home/unsj/datasets/dna.128MB,134217727,29.051466,814496679734,860690116,84613255
13,psa,10,/home/unsj/datasets/english.32MB,33554431,8.756371,288082135706,115336239,26458069
14,psa,10,/home/unsj/datasets/english.32MB,33554431,8.805596,288002798049,134062131,26443014
15,psa,10,/home/unsj/datasets/english.32MB,33554431,8.840789,288002786006,114845990,26468504
16,psa,10,/home/unsj/datasets/dna.128MB,134217727,80.512698,1164811568119,849361717,126257948
17,psa,10,/home/unsj/datasets/dna.128MB,134217727,82.994175,1242130958424,814416281,126588099
18,psa,10,/home/unsj/datasets/dna.128MB,134217727,84.654549,1322407967478,818323152,127009841
19,psa,10,/home/unsj/datasets/english.4MB,4194303,1.113610,36867412542,1549093,3870401
20,psa,10,/home/unsj/datasets/english.4MB,4194303,1.097385,36839241880,1476155,3851258
21,psa,10,/home/unsj/datasets/english.4MB,4194303,1.103814,36845747005,1521214,3849680
22,psa,10,/home/unsj/datasets/dna.16MB,16777215,4.543134,157978463193,22278414,17554552
23,psa,10,/home/unsj/datasets/dna.16MB,16777215,4.617013,157969419244,22046851,17509524
24,psa,10,/home/unsj/datasets/dna.16MB,16777215,4.689272,158078410417,22266922,17506305
25,psa,10,/home/unsj/datasets/english.4MB,4194303,0.850946,26185371693,1115620,1264358
26,psa,10,/home/unsj/datasets/english.4MB,4194303,0.832681,26015216174,1237085,1294467
27,psa,10,/home/unsj/datasets/english.4MB,4194303,0.834045,25944167149,1172866,1289148
28,psa,10,/home/unsj/datasets/dna.16MB,16777215,2.518803,71578479170,22224810,7356909
29,psa,10,/home/unsj/datasets/dna.16MB,16777215,2.498886,71847297523,23109960,7296779
30,psa,10,/home/unsj/datasets/dna.16MB,16777215,2.489800,71586124705,22852918,7402668
31,psa,10,/home/unsj/datasets/english.4MB,4194303,0.810297,26076660535,1234875,2489548
32,psa,10,/home/unsj/datasets/english.4MB,4194303,0.799275,26074495223,1277739,2484111
33,psa,10,/home/unsj/datasets/english.4MB,4194303,0.804740,26070726912,1291909,2489412
34,psa,10,/home/unsj/datasets/dna.16MB,16777215,3.478068,114898284187,21444816,12029041
35,psa,10,/home/unsj/datasets/dna.16MB,16777215,3.507599,114906231197,23175355,12054982
36,psa,10,/home/unsj/datasets/dna.16MB,16777215,3.500473,114909802032,21617093,12038363
37,psa,10,/home/unsj/datasets/english.64MB,67108863,24.117075,839929845926,247817591,79090712
38,psa,10,/home/unsj/datasets/english.64MB,67108863,24.436721,839900912225,274901168,79286854
39,psa,10,/home/unsj/datasets/english.64MB,67108863,24.477438,839891011729,288674162,79143766
40,psa,10,/home/unsj/datasets/dna.1MB,1048575,0.299893,7437253633,149737,847154
41,psa,10,/home/unsj/datasets/dna.1MB,1048575,0.238962,7419098437,150751,845362
42,psa,10,/home/unsj/datasets/dna.1MB,1048575,0.242376,7429578644,134374,837401
43,psa,10,/home/unsj/datasets/english.64MB,67108863,16.252465,497635333751,306189092,38510998
44,psa,10,/home/unsj/datasets/english.64MB,67108863,16.167235,497654099085,292520348,38107989
45,psa,10,/home/unsj/datasets/english.64MB,67108863,16.418219,497698835312,294614146,38476435
46,psa,10,/home/unsj/datasets/dna.1MB,1048575,0.667344,22696623687,145821,175739
47,psa,10,/home/unsj/datasets/dna.1MB,1048575,0.665315,22735769096,136854,155952
48,psa,10,/home/unsj/datasets/dna.1MB,1048575,0.663843,22671861473,137597,157740
49,psa,10,/home/unsj/datasets/english.64MB,67108863,20.368179,667629830557,289719080,57245182
50,psa,10,/home/unsj/datasets/english.64MB,67108863,19.960037,667634879971,292536519,57374205
51,psa,10,/home/unsj/datasets/english.64MB,67108863,20.205133,667630332909,286653192,57310811
52,psa,10,/home/unsj/datasets/dna.1MB,1048575,0.161172,4727124445,105647,503799
53,psa,10,/home/unsj/datasets/dna.1MB,1048575,0.157847,4727249092,110303,498630
54,psa,10,/home/unsj/datasets/dna.1MB,1048575,0.156619,4726227037,108940,496641
55,psa,10,/home/unsj/datasets/english.8MB,8388607,2.541202,81585208777,5643696,8222777
56,psa,10,/home/unsj/datasets/english.8MB,8388607,2.399766,81550599101,5669100,8248923
57,psa,10,/home/unsj/datasets/english.8MB,8388607,2.375668,81559208060,6264218,8249147
58,psa,10,/home/unsj/datasets/dna.2MB,2097151,0.501584,16063876631,516092,1804733
59,psa,10,/home/unsj/datasets/dna.2MB,2097151,0.497336,16061427352,483414,1799357
60,psa,10,/home/unsj/datasets/dna.2MB,2097151,0.517097,16066527953,467050,1801171
61,psa,10,/home/unsj/datasets/english.8MB,8388607,1.369547,40439547457,4752942,3181330
62,psa,10,/home/unsj/datasets/english.8MB,8388607,1.335371,40120544773,4812693,3142267
63,psa,10,/home/unsj/datasets/english.8MB,8388607,1.336563,40242686273,4857709,3130617
64,psa,10,/home/unsj/datasets/dna.2MB,2097151,0.704689,23225795524,380515,451119
65,psa,10,/home/unsj/datasets/dna.2MB,2097151,0.724042,23796594510,370347,435231
66,psa,10,/home/unsj/datasets/dna.2MB,2097151,0.701107,22936019581,393242,430431
67,psa,10,/home/unsj/datasets/english.8MB,8388607,1.827507,60037219250,4651070,5475690
68,psa,10,/home/unsj/datasets/english.8MB,8388607,1.813609,60009087850,4684863,5490424
69,psa,10,/home/unsj/datasets/english.8MB,8388607,1.833167,60022597085,4721318,5503012
70,psa,10,/home/unsj/datasets/dna.2MB,2097151,0.341448,10671886790,393125,1129202
71,psa,10,/home/unsj/datasets/dna.2MB,2097151,0.343382,10674896907,418595,1128615
72,psa,10,/home/unsj/datasets/dna.2MB,2097151,0.341576,10676914487,372141,1118146
73,psa,10,/home/unsj/datasets/proteins.128MB,134217727,166.218319,1565288258537,719303121,172074617
74,psa,10,/home/unsj/datasets/proteins.128MB,134217727,146.341322,1607922837253,687910350,171695600
75,psa,10,/home/unsj/datasets/proteins.128MB,134217727,155.305468,1577812701814,648743511,171325105
76,psa,10,/home/unsj/datasets/dna.32MB,33554431,9.862562,335992658032,85925150,37302866
77,psa,10,/home/unsj/datasets/dna.32MB,33554431,9.938486,335950506773,90862150,37262480
78,psa,10,/home/unsj/datasets/dna.32MB,33554431,9.688402,335952120307,88153651,37244693
79,psa,10,/home/unsj/datasets/proteins.128MB,134217727,28.606562,832508364532,787241479,84280536
80,psa,10,/home/unsj/datasets/proteins.128MB,134217727,28.561313,832462654744,784893002,84025886
81,psa,10,/home/unsj/datasets/proteins.128MB,134217727,28.435532,832448870885,786125311,84116552
82,psa,10,/home/unsj/datasets/dna.32MB,33554431,5.625581,163704263552,101583188,16997065
83,psa,10,/home/unsj/datasets/dna.32MB,33554431,5.748527,163686184845,103994264,16769735
84,psa,10,/home/unsj/datasets/dna.32MB,33554431,5.648814,163687589019,103027485,16905508
85,psa,10,/home/unsj/datasets/proteins.128MB,134217727,78.405546,1178470177313,748069450,126147725
86,psa,10,/home/unsj/datasets/proteins.128MB,134217727,80.646720,1260170796784,735497122,126811770
87,psa,10,/home/unsj/datasets/proteins.128MB,134217727,82.661805,1355619489841,751325771,126655786
88,psa,10,/home/unsj/datasets/dna.32MB,33554431,7.658880,249858043945,89370526,26267067
89,psa,10,/home/unsj/datasets/dna.32MB,33554431,7.545333,249836712543,87325471,26291227
90,psa,10,/home/unsj/datasets/dna.32MB,33554431,7.722843,249836740685,91810915,26275062
91,psa,10,/home/unsj/datasets/proteins.16MB,16777215,4.825498,159589901444,18067360,17562874
92,psa,10,/home/unsj/datasets/proteins.16MB,16777215,4.508304,159515188082,18545674,17492864
93,psa,10,/home/unsj/datasets/proteins.16MB,16777215,4.461025,159534445765,18211446,17542892
94,psa,10,/home/unsj/datasets/dna.4MB,4194303,1.045831,34590326269,1633642,3860062
95,psa,10,/home/unsj/datasets/dna.4MB,4194303,1.044808,34580029478,1635702,3851089
96,psa,10,/home/unsj/datasets/dna.4MB,4194303,1.073085,34595561373,1609884,3852841
97,psa,10,/home/unsj/datasets/proteins.16MB,16777215,2.478021,76323598412,17481303,7146349
98,psa,10,/home/unsj/datasets/proteins.16MB,16777215,2.889756,90901766273,17274896,7164447
99,psa,10,/home/unsj/datasets/proteins.16MB,16777215,2.504058,76773033430,15981855,7177743
100,psa,10,/home/unsj/datasets/dna.4MB,4194303,0.780154,23886328767,1364082,1292041
