# Generated=20150326-15:29:24, User=unsj
# Linux keira-ubuntu 3.5.0-17-generic #28-Ubuntu SMP Tue Oct 9 19:31:23 UTC 2012 x86_64 x86_64 x86_64 GNU/Linux
# Machine (5958MB)
#   Socket L#0 + L3 L#0 (12MB)
#     L2 L#0 (256KB) + L1 L#0 (32KB) + Core L#0 + PU L#0 (P#0)
#     L2 L#1 (256KB) + L1 L#1 (32KB) + Core L#1 + PU L#1 (P#2)
#     L2 L#2 (256KB) + L1 L#2 (32KB) + Core L#2 + PU L#2 (P#4)
#     L2 L#3 (256KB) + L1 L#3 (32KB) + Core L#3 + PU L#3 (P#6)
#     L2 L#4 (256KB) + L1 L#4 (32KB) + Core L#4 + PU L#4 (P#8)
#     L2 L#5 (256KB) + L1 L#5 (32KB) + Core L#5 + PU L#5 (P#10)
#   Socket L#1 + L3 L#1 (12MB)
#     L2 L#6 (256KB) + L1 L#6 (32KB) + Core L#6 + PU L#6 (P#1)
#     L2 L#7 (256KB) + L1 L#7 (32KB) + Core L#7 + PU L#7 (P#3)
#     L2 L#8 (256KB) + L1 L#8 (32KB) + Core L#8 + PU L#8 (P#5)
#     L2 L#9 (256KB) + L1 L#9 (32KB) + Core L#9 + PU L#9 (P#7)
#     L2 L#10 (256KB) + L1 L#10 (32KB) + Core L#10 + PU L#10 (P#9)
#     L2 L#11 (256KB) + L1 L#11 (32KB) + Core L#11 + PU L#11 (P#11)
ExperimentNumber,Algorithm,NumberOfThreads,InputFile,LengthOfText,ElapsedTimeSec,Instructions,LLCReadMisses,LLCWriteMisses
1,sais,1,/home/unsj/datasets/english.32MB,33554431,8.270956,9634136773,132419500,23729252
2,sais,1,/home/unsj/datasets/english.32MB,33554431,8.276616,9634171198,132360358,23810748
3,sais,1,/home/unsj/datasets/english.32MB,33554431,6.388979,9631975758,130108009,22144165
4,sais,1,/home/unsj/datasets/dna.128MB,134217727,32.508703,36343249811,588448217,95001890
5,sais,1,/home/unsj/datasets/dna.128MB,134217727,42.940327,36292334959,600822865,101626395
6,sais,1,/home/unsj/datasets/dna.128MB,134217727,42.946552,36282521811,600856927,101797149
7,sais,1,/home/unsj/datasets/english.32MB,33554431,8.489651,9634016547,137859062,24547871
8,sais,1,/home/unsj/datasets/english.32MB,33554431,8.555269,9634095990,138869826,25305193
9,sais,1,/home/unsj/datasets/english.32MB,33554431,8.483022,9633885836,137554369,24610669
10,sais,1,/home/unsj/datasets/dna.128MB,134217727,32.839282,36271381624,588753732,95100078
11,sais,1,/home/unsj/datasets/dna.128MB,134217727,42.986094,36282181130,600750816,101813173
12,sais,1,/home/unsj/datasets/dna.128MB,134217727,42.952687,36282227074,600652030,101749118
13,sais,1,/home/unsj/datasets/english.32MB,33554431,6.492736,9631793360,135554458,22938826
14,sais,1,/home/unsj/datasets/english.32MB,33554431,6.535668,9631788416,136883514,23331676
15,sais,1,/home/unsj/datasets/english.32MB,33554431,8.441034,9633901233,137501199,24511517
16,sais,1,/home/unsj/datasets/dna.128MB,134217727,32.805298,36271221597,588645127,95060874
17,sais,1,/home/unsj/datasets/dna.128MB,134217727,32.872280,36271411036,588810334,95024377
